Yahweh himself is who goes before you. He will be with you. He will not fail you nor forsake you. Don’t be afraid. Don’t be discouraged.	Deuteronomy 31:8
Haven’t I commanded you? Be strong and courageous. Don’t be afraid. Don’t be dismayed, for Yahweh your God is with you wherever you go.	Joshua 1:9
Offer the sacrifices of righteousness. Put your trust in Yahweh.	Psalm 4:5
As for me, I said in my haste, “I am cut off from before your eyes.” Nevertheless you heard the voice of my petitions when I cried to you.	Psalm 31:2
Therefore we won’t be afraid, though the earth changes, though the mountains are shaken into the heart of the seas;	Psalm 46:2
When I am afraid, I will put my trust in you.	Psalm 56:3
You shall not be afraid of the terror by night, nor of the arrow that flies by day, nor of the pestilence that walks in darkness, nor of the destruction that wastes at noonday.	Psalm 91:5-6
Yahweh will keep you from all evil. He will keep your soul.	Psalm 121:7
In the way of righteousness is life; in its path there is no death.	Proverbs 12:28
You will keep whoever’s mind is steadfast in perfect peace, because he trusts in you.	Isaiah 26:3
Don’t you be afraid, for I am with you. Don’t be dismayed, for I am your God. I will strengthen you. Yes, I will help you. Yes, I will uphold you with the right hand of my righteousness.	Isaiah 41:10
Heal me, O Yahweh, and I will be healed. Save me, and I will be saved; for you are my praise.	Jeremiah 17:14
You shall call on me, and you shall go and pray to me, and I will listen to you. You shall seek me and find me, when you search for me with all your heart.	Jeremiah 29:12-13
He said to them, “Why are you so afraid? How is it that you have no faith?”	Mark 4:40
Don’t let your heart be troubled. Believe in God. Believe also in me.	John 14:1